CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0001,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,No,Credit card (automatic),97.84,4607.26,No
CUST-0002,Female,1,No,Yes,1,Yes,No,DSL,Yes,No,Yes,No,Two year,Yes,Mailed check,64.44,65.26,No
CUST-0003,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,Two year,No,Electronic check,103.16,5695.8,No
CUST-0004,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),92.26,461.79,Yes
CUST-0005,Male,0,Yes,Yes,2,Yes,No phone service,DSL,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,60.74,121.84,Yes
CUST-0006,Female,1,Yes,Yes,53,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Mailed check,65.01,3575.41,No
CUST-0007,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.12,2039.46,No
CUST-0008,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),61.89,242.09,Yes
CUST-0009,Male,1,Yes,Yes,9,Yes,No,DSL,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.87,603.2,Yes
CUST-0010,Female,0,No,Yes,49,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,100.19,5093.1,Yes
CUST-0011,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,Yes,One year,No,Electronic check,102.06,690.91,No
CUST-0012,Male,1,Yes,Yes,56,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,No,Credit card (automatic),74.46,4138.69,No
CUST-0013,Male,1,No,Yes,8,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,90.33,700.06,Yes
CUST-0014,Male,0,Yes,Yes,54,Yes,No,DSL,Yes,No,No,No,One year,No,Electronic check,69.32,3845.69,No
CUST-0015,Female,0,No,Yes,66,Yes,No,DSL,No,No,Yes,Yes,One year,Yes,Credit card (automatic),62.89,4139.78,No
CUST-0016,Male,0,No,Yes,11,Yes,Yes,DSL,Yes,No,Yes,No,Two year,Yes,Mailed check,68.54,742.73,No
CUST-0017,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.52,2314.73,No
CUST-0018,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,74.88,4418.22,No
CUST-0019,Female,0,Yes,Yes,8,Yes,No,DSL,No,Yes,Yes,No,One year,Yes,Credit card (automatic),69.58,559.62,Yes
CUST-0020,Male,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,104.05,6804.27,Yes
CUST-0021,Female,0,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),41.7,2948.14,No
CUST-0022,Male,0,Yes,Yes,65,Yes,Yes,DSL,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,73.06,4939.55,No
CUST-0023,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Mailed check,101.29,6570.39,No
