Date,Price,CompetitorPrice,MarketingSpend,Demand
2026-01-01,59.99,30.28,403.33,445
2026-01-02,34.99,36.91,436.23,620
2026-01-03,39.99,28.87,458.04,706
2026-01-04,59.99,38.21,878.94,694
2026-01-05,29.99,32.2,309.3,724
2026-01-06,39.99,37.35,767.13,772
2026-01-07,39.99,33.16,642.26,733
2026-01-08,59.99,36.0,437.21,580
2026-01-09,24.99,30.86,535.82,849
2026-01-10,29.99,34.16,404.97,780
2026-01-11,59.99,34.82,689.21,569
2026-01-12,29.99,37.88,265.28,752
2026-01-13,29.99,40.38,204.15,697
2026-01-14,39.99,36.74,702.32,734
2026-01-15,34.99,35.89,355.42,748
2026-01-16,29.99,31.92,256.75,716
2026-01-17,49.99,30.74,517.43,603
2026-01-18,39.99,35.57,240.61,609
2026-01-19,24.99,35.41,909.29,927
2026-01-20,34.99,36.82,222.09,643
2026-01-21,49.99,37.11,663.09,666
2026-01-22,49.99,36.08,550.78,623
2026-01-23,24.99,30.6,737.62,796
2026-01-24,34.99,37.68,462.52,783
2026-01-25,39.99,34.68,324.03,658
2026-01-26,19.99,32.13,985.47,1021
2026-01-27,34.99,33.76,871.15,864
2026-01-28,24.99,30.8,888.32,858
2026-01-29,49.99,33.97,400.2,563
2026-01-30,39.99,37.25,231.07,614
2026-01-31,34.99,34.02,442.61,672
2026-02-01,19.99,32.42,629.67,871
2026-02-02,19.99,34.23,461.32,910
2026-02-03,29.99,36.38,862.3,796
2026-02-04,29.99,30.95,417.23,782
2026-02-05,59.99,31.94,972.2,639
2026-02-06,24.99,35.38,565.81,862
2026-02-07,34.99,31.25,873.62,828
2026-02-08,34.99,40.84,355.5,698
2026-02-09,59.99,34.54,529.08,561
2026-02-10,49.99,32.28,759.61,637
2026-02-11,49.99,32.55,310.68,481
2026-02-12,59.99,33.55,306.2,488
2026-02-13,49.99,33.29,975.63,674
2026-02-14,29.99,28.73,771.68,862
2026-02-15,34.99,38.79,232.85,694
2026-02-16,59.99,34.95,519.06,535
2026-02-17,34.99,34.92,546.82,765
2026-02-18,19.99,37.45,795.23,930
2026-02-19,29.99,31.84,400.69,749
2026-02-20,39.99,32.73,347.47,690
2026-02-21,29.99,36.37,264.7,706
2026-02-22,59.99,34.81,542.65,513
2026-02-23,39.99,36.03,750.8,721
2026-02-24,19.99,34.76,246.55,869
2026-02-25,59.99,34.28,932.17,589
2026-02-26,24.99,39.3,553.88,851
2026-02-27,34.99,38.2,391.83,713
2026-02-28,19.99,27.5,275.1,784
2026-03-01,34.99,39.44,346.29,704
2026-03-02,49.99,41.48,947.69,747
2026-03-03,24.99,38.7,710.62,848
2026-03-04,24.99,34.36,613.36,800
2026-03-05,19.99,32.93,725.69,887
2026-03-06,24.99,37.18,548.54,818
2026-03-07,39.99,33.14,784.03,703
2026-03-08,24.99,36.07,238.17,768
2026-03-09,34.99,34.93,652.83,715
2026-03-10,34.99,38.65,326.92,783
2026-03-11,59.99,33.83,296.13,432
2026-03-12,34.99,33.67,473.5,709
2026-03-13,59.99,36.13,273.44,475
2026-03-14,34.99,40.8,275.33,780
2026-03-15,39.99,35.24,449.13,630
2026-03-16,59.99,33.75,983.61,627
2026-03-17,29.99,37.57,340.26,800
2026-03-18,49.99,37.15,213.73,556
2026-03-19,19.99,32.15,810.69,880
2026-03-20,34.99,33.39,845.53,801
2026-03-21,24.99,38.29,477.04,890
2026-03-22,34.99,36.28,571.74,741
2026-03-23,24.99,27.59,719.82,892
2026-03-24,49.99,36.45,238.45,578
2026-03-25,49.99,37.78,959.32,761
2026-03-26,49.99,32.49,909.34,695
2026-03-27,24.99,37.03,408.71,801
2026-03-28,34.99,40.62,212.24,765
2026-03-29,49.99,36.19,946.75,717
2026-03-30,39.99,33.12,600.83,719
2026-03-31,59.99,33.43,631.5,578
2026-04-01,24.99,35.04,747.17,910
2026-04-02,24.99,36.13,692.68,899
2026-04-03,34.99,35.19,955.11,787
2026-04-04,24.99,36.5,955.4,902
2026-04-05,24.99,34.56,893.76,882
2026-04-06,49.99,35.54,709.12,632
2026-04-07,34.99,37.89,840.76,792
2026-04-08,49.99,31.81,741.73,627
2026-04-09,59.99,35.33,658.69,575
2026-04-10,59.99,35.32,302.8,509
2026-04-11,49.99,37.76,848.96,696
2026-04-12,59.99,34.32,856.51,584
2026-04-13,34.99,36.96,700.75,835
2026-04-14,19.99,38.31,856.34,951
2026-04-15,49.99,29.45,721.19,670
2026-04-16,39.99,38.51,365.35,667
2026-04-17,39.99,32.04,419.17,687
2026-04-18,24.99,31.72,371.67,836
2026-04-19,59.99,26.36,501.81,405
2026-04-20,39.99,32.59,231.17,614
2026-04-21,24.99,34.99,694.6,887
2026-04-22,19.99,33.85,469.24,902
2026-04-23,34.99,33.61,724.58,789
2026-04-24,34.99,31.66,508.32,733
2026-04-25,34.99,37.6,745.29,858
2026-04-26,39.99,37.88,472.5,751
2026-04-27,19.99,36.25,408.56,826
2026-04-28,39.99,29.34,596.83,701
2026-04-29,59.99,41.82,754.31,621
2026-04-30,39.99,35.44,478.67,758
2026-05-01,19.99,36.62,949.32,997
2026-05-02,19.99,30.51,231.35,795
2026-05-03,59.99,34.97,534.36,545
2026-05-04,19.99,36.24,974.06,904
2026-05-05,19.99,34.58,638.38,930
2026-05-06,34.99,37.62,538.78,783
2026-05-07,59.99,38.9,654.82,619
2026-05-08,29.99,30.97,660.74,796
2026-05-09,29.99,37.55,785.32,857
2026-05-10,19.99,36.18,302.15,818
2026-05-11,29.99,34.99,400.01,725
2026-05-12,29.99,30.29,664.44,778
2026-05-13,19.99,39.44,893.69,903
2026-05-14,29.99,36.19,649.49,852
2026-05-15,39.99,29.65,390.88,581
2026-05-16,24.99,34.27,743.88,945
2026-05-17,59.99,35.98,791.93,531
2026-05-18,24.99,36.52,390.59,864
2026-05-19,19.99,34.62,502.18,837
2026-05-20,34.99,36.02,627.46,792
2026-05-21,59.99,41.36,597.25,549
2026-05-22,19.99,39.64,511.69,950
2026-05-23,34.99,32.15,438.11,720
2026-05-24,24.99,33.21,279.99,814
2026-05-25,19.99,34.67,242.79,820
2026-05-26,59.99,29.75,966.83,615
2026-05-27,59.99,30.98,877.71,611
2026-05-28,49.99,30.13,483.92,574
2026-05-29,39.99,31.56,965.44,735
2026-05-30,29.99,39.17,741.42,804
